city,street,country
ירושלים,מגן האלף 1 ,Israel
ירושלים,מגן האלף 1 ,Israel
ירושלים,מגן האלף 1 ,Israel
ירושלים,מגן האלף 1 ,Israel
ירושלים,מגן האלף 1 ,Israel
ירושלים,מגן האלף 1 ,Israel
ירושלים,פישל אהרן 29 ,Israel
ירושלים,פישל אהרן 29 ,Israel
ירושלים,פישל אהרן 29 ,Israel
ירושלים,פישל אהרן 29 ,Israel
ירושלים,שבטי ישראל 27 ,Israel
ירושלים,נטר 40 ,Israel
ירושלים,מגן האלף 3 ,Israel
ירושלים,מגן האלף 3 ,Israel
ירושלים,מגן האלף 3 ,Israel
ירושלים,מגן האלף 3 ,Israel
ירושלים,מגן האלף 3 ,Israel
ירושלים,מגן האלף 3 ,Israel
ירושלים,שבטי ישראל 22 ,Israel
ירושלים,שבטי ישראל 22 ,Israel
ירושלים,שבטי ישראל 22 ,Israel
ירושלים,שבטי ישראל 22 ,Israel
ירושלים,שבטי ישראל 22 ,Israel
ירושלים,שבטי ישראל 22 ,Israel
ירושלים,הנביאים 42 ,Israel
ירושלים,הנביאים 42 ,Israel
ירושלים,הנביאים 42 ,Israel
ירושלים,שבטי ישראל 27 ,Israel
ירושלים,נטר 40 ,Israel
ירושלים,אהלי יוסף 15 ,Israel
ירושלים,אהלי יוסף 15 ,Israel
ירושלים,אהלי יוסף 15 ,Israel
ירושלים,אהלי יוסף 15 ,Israel
ירושלים,אהלי יוסף 15 ,Israel
ירושלים,ירמיהו 5 ,Israel
ירושלים,ירמיהו 5 ,Israel
ירושלים,ירמיהו 5 ,Israel
ירושלים,ירמיהו 5 ,Israel
ירושלים,ירמיהו 5 ,Israel
ירושלים,ירמיהו 5 ,Israel
ירושלים,בובליק גדליה 26 ,Israel
ירושלים,בובליק גדליה 26 ,Israel
ירושלים,בובליק גדליה 26 ,Israel
ירושלים,בובליק גדליה 26 ,Israel
ירושלים,בובליק גדליה 26 ,Israel
ירושלים,מן 7 ,Israel
ירושלים,מן 7 ,Israel
ירושלים,מן 7 ,Israel
ירושלים,מן 7 ,Israel
ירושלים,מן 7 ,Israel
ירושלים,מן 7 ,Israel
ירושלים,שמחת כהן 32 ,Israel
ירושלים,שמחת כהן 32 ,Israel
ירושלים,שמחת כהן 32 ,Israel
ירושלים,שמחת כהן 32 ,Israel
ירושלים,קהילות יעקב 10 ,Israel
ירושלים,קהילות יעקב 10 ,Israel
ירושלים,קהילות יעקב 10 ,Israel
ירושלים,קהילות יעקב 10 ,Israel
ירושלים,קהילות יעקב 10 ,Israel
ירושלים,ילין דוד 41 ,Israel
ירושלים,ילין דוד 41 ,Israel
ירושלים,ילין דוד 41 ,Israel
ירושלים,ילין דוד 41 ,Israel
ירושלים,מלכי ישראל 75 ,Israel
ירושלים,מלכי ישראל 75 ,Israel
ירושלים,מלכי ישראל 75 ,Israel
ירושלים,מלכי ישראל 75 ,Israel
ירושלים,הטורים 23 ,Israel
ירושלים,הטורים 23 ,Israel
ירושלים,הטורים 23 ,Israel
ירושלים,הטורים 23 ,Israel
ירושלים,עזרת תורה 45 ,Israel
ירושלים,עזרת תורה 45 ,Israel
ירושלים,עזרת תורה 45 ,Israel
ירושלים,עזרת תורה 45 ,Israel
ירושלים,עזרת תורה 45 ,Israel
ירושלים,עזרת תורה 45 ,Israel
ירושלים,סורוצקין 40 ,Israel
ירושלים,סורוצקין 40 ,Israel
ירושלים,סורוצקין 40 ,Israel
ירושלים,סורוצקין 40 ,Israel
ירושלים,סורוצקין 40 ,Israel
ירושלים,סורוצקין 40 ,Israel
ירושלים,ראשון לציון 7 ,Israel
ירושלים,ראשון לציון 7 ,Israel
ירושלים,ראשון לציון 7 ,Israel
ירושלים,ראשון לציון 7 ,Israel
ירושלים,ראשון לציון 7 ,Israel
ירושלים,המעיין 2 ,Israel
ירושלים,אביגדורי 4 ,Israel
ירושלים,אביגדורי 4 ,Israel
ירושלים,אביגדורי 4 ,Israel
ירושלים,אביגדורי 4 ,Israel
ירושלים,אביגדורי 4 ,Israel
ירושלים,הלל 30 ,Israel
ירושלים,הלל 30 ,Israel
ירושלים,הלל 30 ,Israel
ירושלים,הלל 17 ,Israel
ירושלים,הלל 17 ,Israel
ירושלים,הלל 17 ,Israel
ירושלים,הלל 17 ,Israel
ירושלים,נרקיס 11 ,Israel
ירושלים,הקרן הקיימת 14 ,Israel
ירושלים,הקרן הקיימת 14 ,Israel
ירושלים,הקרן הקיימת 14 ,Israel
ירושלים,רבי עקיבא 7 ,Israel
ירושלים,רבי עקיבא 7 ,Israel
ירושלים,רבי עקיבא 7 ,Israel
ירושלים,רבי עקיבא 7 ,Israel
ירושלים,שמעון הצדיק 23 ,Israel
ירושלים,שמעון הצדיק 23 ,Israel
ירושלים,שמעון הצדיק 23 ,Israel
ירושלים,שמעון הצדיק 23 ,Israel
ירושלים,שמעון הצדיק 23 ,Israel
ירושלים,שמעון הצדיק 23 ,Israel
ירושלים,נטר 40 ,Israel
ירושלים,יצחק אלחנן 4 ,Israel
ירושלים,יצחק אלחנן 4 ,Israel
ירושלים,יצחק אלחנן 4 ,Israel
ירושלים,יצחק אלחנן 4 ,Israel
ירושלים,יצחק אלחנן 4 ,Israel
ירושלים,הגדוד העברי 22 ,Israel
ירושלים,הגדוד העברי 22 ,Israel
ירושלים,הגדוד העברי 22 ,Israel
ירושלים,הגדוד העברי 22 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,אוסישקין 38 ,Israel
ירושלים,אוסישקין 38 ,Israel
ירושלים,אוסישקין 38 ,Israel
ירושלים,אוסישקין 38 ,Israel
ירושלים,הרב והרבנית קאפח 20 ,Israel
ירושלים,הרב והרבנית קאפח 20 ,Israel
ירושלים,הרב והרבנית קאפח 20 ,Israel
ירושלים,הרב והרבנית קאפח 20 ,Israel
ירושלים,הרב והרבנית קאפח 20 ,Israel
ירושלים,נרקיס 11 ,Israel
ירושלים,אהל משה 42 ,Israel
ירושלים,אהל משה 42 ,Israel
ירושלים,אלוף שאלתיאל 1 ,Israel
ירושלים,אלוף שאלתיאל 1 ,Israel
ירושלים,אלוף שאלתיאל 1 ,Israel
ירושלים,שיריזלי 6 ,Israel
ירושלים,אהל משה 42 ,Israel
ירושלים,אהל משה 42 ,Israel
ירושלים,מנחם מנדל משקלוב 24 ,Israel
ירושלים,מנחם מנדל משקלוב 24 ,Israel
ירושלים,ישעיהו 7 ,Israel
ירושלים,ישעיהו 7 ,Israel
ירושלים,ישעיהו 7 ,Israel
ירושלים,ישעיהו 7 ,Israel
ירושלים,ישעיהו 7 ,Israel
ירושלים,ישעיהו 7 ,Israel
ירושלים,זכרון יעקב 5 ,Israel
ירושלים,זכרון יעקב 5 ,Israel
ירושלים,זכרון יעקב 5 ,Israel
ירושלים,הרב אבן דנן 30 ,Israel
ירושלים,החלוץ 47 ,Israel
ירושלים,החלוץ 47 ,Israel
ירושלים,החלוץ 47 ,Israel
ירושלים,החלוץ 47 ,Israel
ירושלים,החלוץ 47 ,Israel
ירושלים,שחר 19 ,Israel
ירושלים,הרב אבן דנן 30 ,Israel
ירושלים,הרב אבן דנן 30 ,Israel
ירושלים,שמואל הנביא 85 ,Israel
ירושלים,שמואל הנביא 85 ,Israel
ירושלים,שמואל הנביא 85 ,Israel
ירושלים,שמואל הנביא 85 ,Israel
ירושלים,שמואל הנביא 85 ,Israel
ירושלים,בן ציון 24 ,Israel
ירושלים,בן ציון 24 ,Israel
ירושלים,בן ציון 24 ,Israel
ירושלים,ויטל חיים 32 ,Israel
ירושלים,ויטל חיים 32 ,Israel
ירושלים,ויטל חיים 32 ,Israel
ירושלים,ויטל חיים 32 ,Israel
ירושלים,ויטל חיים 32 ,Israel
ירושלים,זכרון יעקב 3 ,Israel
ירושלים,זכרון יעקב 3 ,Israel
ירושלים,זכרון יעקב 3 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,בן לברט 15 ,Israel
ירושלים,הקבלן 8 ,Israel
ירושלים,הקבלן 8 ,Israel
ירושלים,הקבלן 8 ,Israel
ירושלים,סורוצקין 38א,Israel
ירושלים,סורוצקין 38א,Israel
ירושלים,סורוצקין 38א,Israel
ירושלים,"המ""ג 1 ",Israel
ירושלים,"המ""ג 1 ",Israel
ירושלים,"המ""ג 1 ",Israel
ירושלים,נג'ארה 27 ,Israel
